epoch	accuracy	val_accuracy	loss	val_loss
1	0.72768634557724	0.7395784854888916	0.5480945706367493	0.5303282141685486
2	0.7353571057319641	0.7407310009002686	0.5384920239448547	0.5304029583930969
3	0.7375495433807373	0.7426983118057251	0.535366952419281	0.5214254260063171
4	0.7386985421180725	0.7419193387031555	0.5336938500404358	0.5228590369224548
5	0.7396629452705383	0.7444628477096558	0.5322019457817078	0.5235253572463989
6	0.7402193546295166	0.7419391870498657	0.5314977765083313	0.5266015529632568
7	0.7410720586776733	0.7470660209655762	0.5299568772315979	0.5147981643676758
8	0.7414019107818604	0.7463943362236023	0.5296698808670044	0.5202440619468689
9	0.7417688965797424	0.7454206347465515	0.5291094779968262	0.5177137851715088
10	0.7422364950180054	0.745861828327179	0.5283583402633667	0.5195269584655762
